user_id,balance_krw,total_charged,total_used,updated_at
753baa12-9897-4107-94f6-8c7af0cb9ffa,0,0,0,2026-04-05 23:59:30.247674+09
cc2022bd-7f50-46c0-8bcf-30063cc05b3f,0,0,0,2026-04-05 23:59:30.247674+09
317eafe1-7c92-4cd5-9cdc-b49dfef3746d,0,0,0,2026-04-05 23:59:30.247674+09
9385981d-11c8-44c4-af38-ef32b029f6b3,0,0,0,2026-04-05 23:59:30.247674+09
3571e9eb-b56f-4bdb-85fb-bfaa31a7ee25,0,0,0,2026-04-05 23:59:30.247674+09
3cc19b0e-e3e5-4c27-bfda-e4b636b935ff,0,0,0,2026-04-05 23:59:30.247674+09
3a2e4e60-b7a3-4357-b813-57c8e224a195,0,0,0,2026-04-05 23:59:30.247674+09
925b810a-b6be-42bd-8031-459fe337ecf7,0,0,0,2026-04-05 23:59:30.247674+09
cffac7a1-cede-4dc6-b2ce-a72db70954c4,0,0,0,2026-04-05 23:59:30.247674+09
f68503f2-a390-4706-8eda-4f6baff1938d,0,0,0,2026-04-05 23:59:30.247674+09
8fa2479b-35a1-42d6-9ce6-d5ae409feb7f,0,0,0,2026-04-05 23:59:30.247674+09
62bfdc73-d731-4d6f-a8fe-c5aff871ab39,0,0,0,2026-04-05 23:59:30.247674+09
f0a326ad-ae87-46be-81db-3162b67a40f8,0,0,0,2026-04-05 23:59:30.247674+09
eab4c30d-c281-47d5-bfcf-c16d15c3dccd,0,0,0,2026-04-05 23:59:30.247674+09
92377f15-a71a-49ec-813f-eed5126c38a5,0,0,0,2026-04-05 23:59:30.247674+09
de434294-ee6d-4aa3-b61b-dea9d08cd8c9,0,0,0,2026-04-05 23:59:30.247674+09
27a91dad-df49-47d1-889e-505aa793dd12,0,0,0,2026-04-05 23:59:30.247674+09
6e1bce2e-78c7-4172-b2b2-476025ba1e7f,0,0,0,2026-04-05 23:59:30.247674+09
7541ef28-a92a-417c-8e47-2d982a52f4df,0,0,0,2026-04-05 23:59:30.247674+09
ad653b6a-c24f-4b1b-a8c9-5bf0ef516d14,0,0,0,2026-04-05 23:59:30.247674+09
e60b6fd2-9777-41ee-8c96-93f657a7eb5f,0,0,0,2026-04-05 23:59:30.247674+09
ac8c6123-4802-4db8-8a94-538d0276a6da,0,0,0,2026-04-05 23:59:30.247674+09
2793f2be-0fa6-4e6c-90fe-d75ff29a3069,0,0,0,2026-04-05 23:59:30.247674+09
86ae62d5-f918-4707-ab4b-a898d4fa8ed6,0,0,0,2026-04-05 23:59:30.247674+09
abda8a5b-7222-49a4-a431-fee4d13aaddf,0,0,0,2026-04-05 23:59:30.247674+09
becc2e69-1d3b-4aff-8256-1240de5f86d8,0,0,0,2026-04-05 23:59:30.247674+09
e49ba14d-e966-49ac-830e-01b21c0adccb,0,0,0,2026-04-05 23:59:30.247674+09
ad2297d7-ccfc-4832-aba0-61e543c7485a,0,0,0,2026-04-05 23:59:30.247674+09
3d4d89b3-cbc2-4c29-a233-79610fdea2ce,0,0,0,2026-04-05 23:59:30.247674+09
fa045574-bd4f-409f-a9f1-f68cbbf3e184,0,0,0,2026-04-05 23:59:30.247674+09
