indexname,tablename,indexdef
idx_opic_tips_answer_type,opic_tips,CREATE INDEX idx_opic_tips_answer_type ON public.opic_tips USING btree (question_type)
idx_opic_tips_category,opic_tips,CREATE INDEX idx_opic_tips_category ON public.opic_tips USING btree (category)
opic_tips_pkey,opic_tips,CREATE UNIQUE INDEX opic_tips_pkey ON public.opic_tips USING btree (id)
idx_orders_payment_id,orders,CREATE INDEX idx_orders_payment_id ON public.orders USING btree (payment_id)
idx_orders_status,orders,CREATE INDEX idx_orders_status ON public.orders USING btree (status)
idx_orders_user_id,orders,CREATE INDEX idx_orders_user_id ON public.orders USING btree (user_id)
orders_payment_id_unique,orders,CREATE UNIQUE INDEX orders_payment_id_unique ON public.orders USING btree (payment_id)
orders_pkey,orders,CREATE UNIQUE INDEX orders_pkey ON public.orders USING btree (id)
polar_balances_pkey,polar_balances,CREATE UNIQUE INDEX polar_balances_pkey ON public.polar_balances USING btree (user_id)
idx_polar_orders_checkout_id,polar_orders,CREATE UNIQUE INDEX idx_polar_orders_checkout_id ON public.polar_orders USING btree (polar_checkout_id)
idx_polar_orders_user_id,polar_orders,CREATE INDEX idx_polar_orders_user_id ON public.polar_orders USING btree (user_id)
polar_orders_pkey,polar_orders,CREATE UNIQUE INDEX polar_orders_pkey ON public.polar_orders USING btree (id)
idx_polar_transactions_created_at,polar_transactions,CREATE INDEX idx_polar_transactions_created_at ON public.polar_transactions USING btree (created_at DESC)
idx_polar_transactions_user_id,polar_transactions,CREATE INDEX idx_polar_transactions_user_id ON public.polar_transactions USING btree (user_id)
polar_transactions_pkey,polar_transactions,CREATE UNIQUE INDEX polar_transactions_pkey ON public.polar_transactions USING btree (id)
profiles_pkey,profiles,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
idx_questions_category,questions,CREATE INDEX idx_questions_category ON public.questions USING btree (category)
idx_questions_category_topic,questions,"CREATE INDEX idx_questions_category_topic ON public.questions USING btree (category, topic)"
idx_questions_question_type_eng,questions,CREATE INDEX idx_questions_question_type_eng ON public.questions USING btree (question_type_eng)
idx_questions_survey_type,questions,CREATE INDEX idx_questions_survey_type ON public.questions USING btree (survey_type)
idx_questions_tag,questions,CREATE INDEX idx_questions_tag ON public.questions USING btree (tag)
idx_questions_topic,questions,CREATE INDEX idx_questions_topic ON public.questions USING btree (topic)
questions_pkey,questions,CREATE UNIQUE INDEX questions_pkey ON public.questions USING btree (id)
idx_script_packages_script_id,script_packages,CREATE INDEX idx_script_packages_script_id ON public.script_packages USING btree (script_id)
idx_script_packages_status,script_packages,CREATE INDEX idx_script_packages_status ON public.script_packages USING btree (status)
idx_script_packages_user_id,script_packages,CREATE INDEX idx_script_packages_user_id ON public.script_packages USING btree (user_id)
script_packages_pkey,script_packages,CREATE UNIQUE INDEX script_packages_pkey ON public.script_packages USING btree (id)
idx_script_specs_answer_type,script_specs,CREATE INDEX idx_script_specs_answer_type ON public.script_specs USING btree (question_type)
idx_script_specs_target_level,script_specs,CREATE INDEX idx_script_specs_target_level ON public.script_specs USING btree (target_grade)
script_specs_guide_id_key,script_specs,CREATE UNIQUE INDEX script_specs_guide_id_key ON public.script_specs USING btree (guide_id)
script_specs_pkey,script_specs,CREATE UNIQUE INDEX script_specs_pkey ON public.script_specs USING btree (id)
idx_scripts_category,scripts,CREATE INDEX idx_scripts_category ON public.scripts USING btree (category)
idx_scripts_question_id,scripts,CREATE INDEX idx_scripts_question_id ON public.scripts USING btree (question_id)
idx_scripts_source,scripts,CREATE INDEX idx_scripts_source ON public.scripts USING btree (source)
idx_scripts_status,scripts,CREATE INDEX idx_scripts_status ON public.scripts USING btree (status)
idx_scripts_user_id,scripts,CREATE INDEX idx_scripts_user_id ON public.scripts USING btree (user_id)
scripts_pkey,scripts,CREATE UNIQUE INDEX scripts_pkey ON public.scripts USING btree (id)
scripts_user_id_question_id_key,scripts,"CREATE UNIQUE INDEX scripts_user_id_question_id_key ON public.scripts USING btree (user_id, question_id)"
idx_shadowing_evaluations_session,shadowing_evaluations,CREATE INDEX idx_shadowing_evaluations_session ON public.shadowing_evaluations USING btree (session_id)
idx_shadowing_evaluations_user,shadowing_evaluations,CREATE INDEX idx_shadowing_evaluations_user ON public.shadowing_evaluations USING btree (user_id)
shadowing_evaluations_pkey,shadowing_evaluations,CREATE UNIQUE INDEX shadowing_evaluations_pkey ON public.shadowing_evaluations USING btree (id)
idx_shadowing_sessions_script,shadowing_sessions,CREATE INDEX idx_shadowing_sessions_script ON public.shadowing_sessions USING btree (script_id)
idx_shadowing_sessions_user,shadowing_sessions,CREATE INDEX idx_shadowing_sessions_user ON public.shadowing_sessions USING btree (user_id)
shadowing_sessions_pkey,shadowing_sessions,CREATE UNIQUE INDEX shadowing_sessions_pkey ON public.shadowing_sessions USING btree (id)
idx_sc_submission_id,submission_combos,CREATE INDEX idx_sc_submission_id ON public.submission_combos USING btree (submission_id)
submission_combos_pkey,submission_combos,CREATE UNIQUE INDEX submission_combos_pkey ON public.submission_combos USING btree (id)
idx_sq_question_id,submission_questions,CREATE INDEX idx_sq_question_id ON public.submission_questions USING btree (question_id)
idx_sq_submission_id,submission_questions,CREATE INDEX idx_sq_submission_id ON public.submission_questions USING btree (submission_id)
idx_submission_questions_topic,submission_questions,CREATE INDEX idx_submission_questions_topic ON public.submission_questions USING btree (topic)
submission_questions_pkey,submission_questions,CREATE UNIQUE INDEX submission_questions_pkey ON public.submission_questions USING btree (id)
idx_submissions_exam_approved,submissions,CREATE INDEX idx_submissions_exam_approved ON public.submissions USING btree (exam_approved) WHERE (status = 'complete'::text)
idx_submissions_exam_date,submissions,CREATE INDEX idx_submissions_exam_date ON public.submissions USING btree (exam_date)
idx_submissions_source,submissions,CREATE INDEX idx_submissions_source ON public.submissions USING btree (source)
idx_submissions_status,submissions,CREATE INDEX idx_submissions_status ON public.submissions USING btree (status)
idx_submissions_user_id,submissions,CREATE INDEX idx_submissions_user_id ON public.submissions USING btree (user_id)
submissions_pkey,submissions,CREATE UNIQUE INDEX submissions_pkey ON public.submissions USING btree (id)
system_settings_pkey,system_settings,CREATE UNIQUE INDEX system_settings_pkey ON public.system_settings USING btree (key)
task_fulfillment_checklists_pkey,task_fulfillment_checklists,CREATE UNIQUE INDEX task_fulfillment_checklists_pkey ON public.task_fulfillment_checklists USING btree (question_type)
idx_tutoring_attempts_drill,tutoring_attempts,CREATE INDEX idx_tutoring_attempts_drill ON public.tutoring_attempts USING btree (drill_id)
tutoring_attempts_pkey,tutoring_attempts,CREATE UNIQUE INDEX tutoring_attempts_pkey ON public.tutoring_attempts USING btree (id)
idx_tutoring_drills_focus,tutoring_drills,CREATE INDEX idx_tutoring_drills_focus ON public.tutoring_drills USING btree (focus_id)
tutoring_drills_pkey,tutoring_drills,CREATE UNIQUE INDEX tutoring_drills_pkey ON public.tutoring_drills USING btree (id)
idx_tutoring_focuses_session,tutoring_focuses,CREATE INDEX idx_tutoring_focuses_session ON public.tutoring_focuses USING btree (session_id)
tutoring_focuses_pkey,tutoring_focuses,CREATE UNIQUE INDEX tutoring_focuses_pkey ON public.tutoring_focuses USING btree (id)
idx_tutoring_retests_focus,tutoring_retests,CREATE INDEX idx_tutoring_retests_focus ON public.tutoring_retests USING btree (focus_id)
tutoring_retests_pkey,tutoring_retests,CREATE UNIQUE INDEX tutoring_retests_pkey ON public.tutoring_retests USING btree (id)
idx_tutoring_sessions_status,tutoring_sessions,CREATE INDEX idx_tutoring_sessions_status ON public.tutoring_sessions USING btree (status)
idx_tutoring_sessions_user,tutoring_sessions,CREATE INDEX idx_tutoring_sessions_user ON public.tutoring_sessions USING btree (user_id)
tutoring_sessions_pkey,tutoring_sessions,CREATE UNIQUE INDEX tutoring_sessions_pkey ON public.tutoring_sessions USING btree (id)
type_templates_pkey,type_templates,CREATE UNIQUE INDEX type_templates_pkey ON public.type_templates USING btree (type_code)
idx_activity_log_action,user_activity_log,"CREATE INDEX idx_activity_log_action ON public.user_activity_log USING btree (action, created_at DESC)"
idx_activity_log_user,user_activity_log,"CREATE INDEX idx_activity_log_user ON public.user_activity_log USING btree (user_id, created_at DESC)"
user_activity_log_pkey,user_activity_log,CREATE UNIQUE INDEX user_activity_log_pkey ON public.user_activity_log USING btree (id)
user_credits_pkey,user_credits,CREATE UNIQUE INDEX user_credits_pkey ON public.user_credits USING btree (user_id)
